Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Fit Peak 18	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																											mu = 17.645232	sigma = 212.864956
364.187440489433	-60.2099471383174	-60.3392127045769	-50.5895555605391	-60.0156881797228	-60.339212720504	-58.898567969464	-60.339211693788	-113.607308923354	-60.3389555932889	-60.0899953468062	-60.323207020179	-60.2123519336069	-60.2303094957113	-60.2037623368233	-60.2583330517451	-60.339212720504	-60.2625918862768	-60.3079165122344	-101.138724538874	350.338	143.306311931024	143.306311931024	-101.338130112842	143.306311931024	-776.816868140522	0.702391557596108		
364.95529810901	-60.2094377637479	-60.3392127045148	-50.587537475859	-60.0144820436085	-60.339212720504	-58.8934066838759	-60.3392116902242	-113.60732874311	-60.3389547354956	-60.089169657127	-60.3231551322044	-60.2119437610991	-60.2299685857915	-60.2033456003157	-60.2580875300489	-60.339212720504	-60.2623683549336	-60.3078263909519	-101.127246045348	350.552	145.909699333394	145.909699333394	-101.335153878849	145.909699333394	-758.119225224335	0.729801959843761		
365.723155728587	-60.2089253723625	-60.3392127044524	-50.5855226909374	-60.0132691506655	-60.339212720504	-58.8882176123513	-60.3392116866417	-113.607348529283	-60.3389538734014	-60.0883398535963	-60.3231029914579	-60.2115336151174	-60.2296260723492	-60.2029269375063	-60.2578408885723	-60.339212720504	-60.2621438439221	-60.3077358798344	-101.115720894891	350.766	145.348538126049	145.348538126049	-101.332174489685	145.348538126049	-752.903170370701	0.757212362091414		
366.491013348165	-60.2084099402904	-60.3392127043895	-50.5835112079915	-60.012049450335	-60.339212720504	-58.8830005550848	-60.3392116830406	-113.607368281874	-60.3389530069776	-60.0875059088158	-60.3230505962945	-60.2111214829169	-60.2292819453107	-60.2025063365043	-60.2575931204947	-60.339212720504	-60.2619183475088	-60.3076449766303	-101.104148736899	350.979	151.489205883447	151.489205883447	-101.329205883447	151.489205883447	-711.677233185823	0.784622764339067		
367.258870967742	-60.2078914434241	-60.3392127043263	-50.5815030292355	-60.0108228915848	-60.339212720504	-58.8777553104719	-60.3392116794206	-113.607388000883	-60.338952136195	-60.0866677951583	-60.3229979450561	-60.2107073516496	-60.2289361945228	-60.2020837853266	-60.2573442189437	-60.339212720504	-60.2616918599183	-60.3075536790715	-101.092529217627	351.193	143.479856543124	143.479856543124	-101.326220179488	143.479856543124	-705.333852165768	0.81203316658672		
368.026728587319	-60.2073698574171	-60.3392127042627	-50.5794981568803	-60.0095894229032	-60.339212720504	-58.8724816750893	-60.3392116757815	-113.607407686309	-60.3389512610244	-60.0858254847658	-60.322945036071	-60.2102912083633	-60.2285888097525	-60.2016592718978	-60.2570941769942	-60.339212720504	-60.2614643753326	-60.3074619848737	-101.080861980158	351.407	138.264140391994	138.264140391994	-101.323231301085	138.264140391994	-704.336415371537	0.839443568834373		
368.794586206897	-60.2068451576803	-60.3392127041988	-50.5774965931333	-60.0083489922943	-60.339212720504	-58.8671794436754	-60.3392116721234	-113.607427338152	-60.3389503814362	-60.084978949547	-60.3228918676537	-60.2098730400007	-60.2282397806858	-60.2012327840485	-60.2568429876682	-60.339212720504	-60.2612358878912	-60.307369891736	-101.069146664365	351.621	149.990239241773	149.990239241773	-101.320239241773	149.990239241773	-689.292412219739	0.866853971082026		
369.562443826474	-60.2063173193795	-60.3392127041344	-50.5754983401986	-60.0071015472724	-60.339212720504	-58.8618484091103	-60.339211668446	-113.607446956413	-60.3389494974007	-60.0841281611748	-60.3228384381051	-60.2094528333986	-60.2278890969275	-60.2008043095151	-60.2565906439343	-60.339212720504	-60.2610063916904	-60.3072773973409	-101.057382906881	351.834	137.513621635338	137.513621635338	-101.317257998974	137.513621635338	-686.274374976318	0.894264373329679		
370.330301446051	-60.2057863174324	-60.3392127040697	-50.573503400277	-60.0058470348559	-60.339212720504	-58.8564883623954	-60.3392116647492	-113.607466541092	-60.3389486088878	-60.0832730910844	-60.322784745712	-60.2090305752865	-60.2275367479998	-60.2003738359384	-60.2563371387071	-60.339212720504	-60.2607758807828	-60.3071844993538	-101.045570341063	352.048	132.112441391509	132.112441391509	-101.314259573327	132.112441391509	-685.725332770749	0.921674775577332		
371.098159065628	-60.2052521265058	-60.3392127040046	-50.571511775566	-60.0045854015624	-60.339212720504	-58.8510990926327	-60.3392116610329	-113.607486092188	-60.3389477158672	-60.0824137104701	-60.3227307887472	-60.2086062522857	-60.2271827233421	-60.1999413508631	-60.2560824648467	-60.339212720504	-60.2605443491774	-60.3070911954232	-101.033708596955	352.262	145.327621583676	145.327621583676	-101.311257947312	145.327621583676	-685.066941131854	0.949085177824985		
