Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Fit Peak 18	Fit Peak 19	Fit Peak 20	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																													mu = -0.068995	sigma = 191.159419
361.883867630701	-100.028336664787	-99.9822638249285	-100.030077980401	-100.013281999136	-99.8301966325645	-99.5817415224144	-99.7694532579156	-100.030077980401	-99.8163386033574	-99.7806965726354	-99.8755156924034	-99.7704925148423	-99.7447726150534	-99.8167277418759	-99.8226574170799	-99.1595245628598	-99.8023373376755	-99.6718894402071	-100.348650550266	-100.030077980401	-96.3336292635934	349.697	145.376458224154	145.376458224154	-96.5210036787	145.376458224154	-827.939024767518	0.620160350853149		
362.651725250278	-100.028329839063	-99.9820787617553	-100.030077980401	-100.013218842771	-99.829456241607	-99.5800966445986	-99.7685243133891	-100.030077980401	-99.8156011067761	-99.779849297748	-99.8749938596246	-99.7696308861293	-99.7438375284439	-99.8160441548029	-99.8220107987587	-99.1568561400007	-99.8016312133255	-99.6708293753506	-100.349580253181	-100.030077980401	-96.3213215709159	349.911	127.128747095194	127.128747095194	-96.5178380042851	127.128747095194	-827.089980040473	0.647570753100802		
363.419582869855	-100.028322973116	-99.9818926219985	-100.030077980401	-100.013155329489	-99.8287117281796	-99.5784426984064	-99.7675903930968	-100.030077980401	-99.8148597856694	-99.778997696971	-99.8744693793804	-99.7687649604726	-99.7428978369152	-99.8153572766906	-99.821361151873	-99.1541754285297	-99.8009217984424	-99.6697645968028	-100.350514031198	-100.030077980401	-96.3089520008227	350.125	143.136486205935	143.136486205935	-96.5146680241171	143.136486205935	-814.737105222812	0.674981155348455		
364.187440489433	-100.028316066631	-99.9817053972905	-100.030077980401	-100.013091456597	-99.8279630616127	-99.5767796170589	-99.7666514614365	-100.030077980401	-99.8141146135409	-99.7781417408015	-99.8739422337297	-99.7678947092534	-99.7419535101793	-99.8146670863769	-99.8207084574791	-99.1514823528699	-99.8002090725407	-99.6686950765707	-100.351451908164	-100.030077980401	-96.2965201357235	350.338	138.479690391719	138.479690391719	-96.5115085735367	138.479690391719	-790.587414085661	0.702391557596108		
364.95529810901	-100.028309119286	-99.9815170791827	-100.030077980401	-100.013027221374	-99.8272102109505	-99.5751073331611	-99.7657074824872	-100.030077980401	-99.8133655636642	-99.7772813994844	-99.873412404579	-99.7670201036148	-99.7410045176989	-99.8139735625292	-99.8200526964849	-99.1487768368626	-99.7994930149753	-99.6676207864535	-100.352393908101	-100.030077980401	-96.2840255544809	350.552	141.082875433052	141.082875433052	-96.508329978506	141.082875433052	-764.970571621991	0.729801959843761		
365.723155728587	-100.02830213076	-99.9813276591438	-100.030077980401	-100.012962621075	-99.8264531449484	-99.5734257786954	-99.7647584200053	-100.030077980401	-99.8126126090808	-99.7764166430102	-99.8728798736814	-99.7661411144585	-99.7400508286846	-99.8132766836429	-99.8193938496484	-99.1460588037616	-99.7987736049397	-99.6665416980401	-100.353340055207	-100.030077980401	-96.2714678323744	350.766	140.52151069052	140.52151069052	-96.5051470541571	140.52151069052	-753.037738571584	0.757212362091414		
366.491013348165	-100.028295100727	-99.9811371285591	-100.030077980401	-100.012897652926	-99.8256918320695	-99.5717348850148	-99.7638042374215	-100.030077980401	-99.8118557225974	-99.775547441112	-99.8723446226341	-99.7652577124427	-99.7390924120929	-99.8125764280398	-99.8187318975765	-99.1433281762282	-99.7980508214648	-99.6654577827078	-100.354290373859	-100.030077980401	-96.2588465410636	350.979	146.661974696429	146.661974696429	-96.5019746964288	146.661974696429	-712.990450990226	0.784622764339067		
367.258870967742	-100.028288028855	-99.9809454787297	-100.030077980401	-100.01283231413	-99.8249262404813	-99.5700345828357	-99.7628448978367	-100.030077980401	-99.8110948767834	-99.7746737632634	-99.8718066328777	-99.7643698679798	-99.7381292366232	-99.8118727738661	-99.8180668207237	-99.1405848763251	-99.7973246434172	-99.6643690116199	-100.355244888611	-100.030077980401	-96.2461612485508	351.193	138.652419473672	138.652419473672	-96.4987831100357	138.652419473672	-712.669450324924	0.81203316658672		
368.026728587319	-100.028280914814	-99.9807527008713	-100.030077980401	-100.012766601862	-99.8241563380524	-99.5683248022309	-99.7618803640192	-100.030077980401	-99.8103300439685	-99.7737955786752	-99.8712658856941	-99.763477551234	-99.7371612707153	-99.8111656990912	-99.8173985993902	-99.1378288255113	-99.7965950494976	-99.663275355724	-100.3562036242	-100.030077980401	-96.2334115191427	351.407	133.436496261506	133.436496261506	-96.4955871705963	133.436496261506	-710.028762263886	0.839443568834373		
368.794586206897	-100.028273758266	-99.9805587861132	-100.030077980401	-100.012700513271	-99.8233820923493	-99.5666054726222	-99.7609105984002	-100.030077980401	-99.8095611962405	-99.772912856293	-99.8707223622051	-99.7625807321182	-99.7361884825472	-99.8104551815054	-99.8167272137207	-99.1350599446365	-99.7958620182394	-99.6621767857503	-100.357166605545	-100.030077980401	-96.2205969134143	351.621	145.162386870154	145.162386870154	-96.4923868701533	145.162386870154	-709.61103064475	0.866853971082026		
