Independent Variable,Fit Peak 1,Fit Peak 2,Fit Peak 3,Fit Peak 4,Fit Peak 5,Fit Peak 6,Fit Peak 7,Fit Peak 8,Fit Peak 9,Fit Peak 10,Fit Peak 11,Fit Peak 12,Fit Peak 13,Fit Peak 14,Fit Peak 15,Fit Peak 16,Fit Peak 17,Fit Peak 18,Fit Peak 19,Fit Peak 20,Fit Peak 21,Fit Peak 22,Fit Peak 23,Cumulative Fit Peak,Independent Variable,Regular Residual E"Smoothed Y1",Regular Residual E"Smoothed Y1",Fitted Y,Regular Residual E"Smoothed Y1",Regular Residual E"Smoothed Y1",Percentiles,Reference X,Reference Line
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mu = -0.111565,sigma = 159.985562
367.258870967742,-85.8543661648805,-85.8543716390817,-85.7131733465176,-85.6716045442636,-85.9969867861765,-85.7926151132228,-85.6687107030386,-85.5971958361437,-85.6697821191246,-85.7009628583544,-85.7291492074755,-85.7515919992082,-85.758027690868,-85.7719871876228,-85.7776145835376,-85.7874359408512,-85.8355798603576,-85.7939686496168,-85.8305306334904,-85.8543716390817,-85.8543716390817,-85.8543708234319,-85.8034353386501,-84.12602824428,351.193,126.396165509593,126.396165509593,-84.242529145956,126.396165509593,-602.677980267545,0.81203316658672,,
368.026728587319,-85.8543661430002,-85.8543716390817,-85.7126411816504,-85.6709276664608,-85.9975392219027,-85.7923919654428,-85.6680531953739,-85.5962983782147,-85.669145490827,-85.7004401093755,-85.728727703288,-85.751250609963,-85.7577100624299,-85.771717427531,-85.7773662485758,-85.7872218876208,-85.8355206801035,-85.7937813181708,-85.8304585284169,-85.8543716390817,-85.8543716390817,-85.8543708210688,-85.8032793579438,-84.1201468548079,351.407,121.181964784595,121.181964784595,-84.2410556936859,121.181964784595,-601.971075233276,0.839443568834373,,
368.794586206897,-85.8543661209884,-85.8543716390817,-85.712106002184,-85.6702470215339,-85.9980949280335,-85.792167605917,-85.6673921884647,-85.5953962141817,-85.6685055632348,-85.6999146837848,-85.7283040672487,-85.750907516915,-85.7573908604733,-85.7714463402906,-85.7771167064757,-85.7870068059324,-85.8354612198234,-85.7935931138644,-85.8303860957095,-85.8543716390817,-85.8543716390817,-85.8543708186955,-85.8031226596324,-84.1142353908317,351.621,132.909580219677,132.909580219677,-84.2395802196761,132.909580219677,-594.186181279287,0.866853971082026,,
369.562443826474,-85.8543660988441,-85.8543716390817,-85.7115677853028,-85.6695625814773,-85.9986539308582,-85.7919420258555,-85.6667276574345,-85.5944893110823,-85.6678623135097,-85.699386563277,-85.7278782849567,-85.7505627087072,-85.7570700745864,-85.7711739171816,-85.7768659494006,-85.7867906891868,-85.8354014777477,-85.7934040312663,-85.8303133333801,-85.8543716390817,-85.8543716390817,-85.8543708163118,-85.8029652393073,-84.1082936471214,351.834,120.434473265511,120.434473265511,-84.2381096291479,120.434473265511,-572.02386359965,0.894264373329679,,
370.330301446051,-85.8543660765663,-85.8543716390817,-85.7110265079752,-85.6688743180245,-85.9992162569344,-85.7917152163884,-85.6660595771853,-85.5935776356646,-85.6672157186158,-85.6988557293902,-85.727450341889,-85.7502161738878,-85.7567476942709,-85.7709001494122,-85.7766139694505,-85.7865735307314,-85.8353414520929,-85.7932140649028,-85.8302402394253,-85.8543716390817,-85.8543716390817,-85.8543708139178,-85.8028070925258,-84.1023214166983,352.048,115.034811928229,115.034811928229,-84.2366301100465,115.034811928229,-555.653059725391,0.921674775577332,,
371.098159065628,-85.8543660541537,-85.8543716390817,-85.7104821469507,-85.6681822026455,-85.9997819330917,-85.7914871685652,-85.665387922395,-85.5926611543848,-85.6665657553167,-85.6983221635038,-85.7270202233996,-85.7498679009092,-85.7564237089416,-85.7706250281182,-85.7763607586606,-85.7863553238604,-85.835281141061,-85.7930232092575,-85.8301668118268,-85.8543716390817,-85.8543716390817,-85.8543708115132,-85.8026482148108,-84.0963184908137,352.262,128.251512194467,128.251512194467,-84.2351485581039,128.251512194467,-545.176619556616,0.949085177824985,,
371.866016685206,-85.8543660316055,-85.8543716390817,-85.7099346787575,-85.6674862065437,-86.0003509864349,-85.7912578733535,-85.6647126675158,-85.5917398334038,-85.6659124001742,-85.6977858468376,-85.7265879147182,-85.7495178781272,-85.7560981079251,-85.7703485443622,-85.7761063090015,-85.786136061814,-85.8352205428402,-85.7928314587709,-85.8300930485507,-85.8543716390817,-85.8543716390817,-85.8543708090982,-85.802488601651,-84.0902846589331,352.475,109.631853725175,109.631853725175,-84.2336719069924,109.631853725175,-538.905408075803,0.976495580072638,,
372.633874304783,-85.8543660089203,-85.8543716390817,-85.7093840797002,-85.6667863006527,-86.0009234443476,-85.7910273216389,-85.6640337867708,-85.5908136385842,-85.6652556295459,-85.6972467604495,-85.7261534009489,-85.7491660937999,-85.7557708804592,-85.7700706891328,-85.7758506123781,-85.7859157377775,-85.8351596556039,-85.79263880784,-85.8300189475476,-85.8543716390817,-85.8543716390817,-85.8543708066725,-85.8023282485,-84.0842197087184,352.689,129.551277196819,129.551277196819,-84.2321862877284,129.551277196819,-538.055314456375,1.00390598232029,,
373.40173192436,-85.8543659860972,-85.8543716390817,-85.7088303258569,-85.6660824556339,-86.0014993344953,-85.7907955042231,-85.663351254152,-85.5898825354869,-85.6645954195828,-85.6967048852341,-85.7257166670691,-85.7488125360866,-85.755442015692,-85.7697914533441,-85.7755936606291,-85.7856943448813,-85.8350984775113,-85.7924452508179,-85.8299445067526,-85.8543716390817,-85.8543716390817,-85.8543708042362,-85.8021671507763,-84.0781234260066,352.902,129.54979648999,129.54979648999,-84.2307055808992,129.54979648999,-534.071442269544,1.03131638456794,,
374.169589543938,-85.8543659631351,-85.8543716390817,-85.7082733930769,-85.6653746418725,-86.0020786848294,-85.7905624118238,-85.662665043418,-85.5889464893682,-85.6639317462276,-85.696160201921,-85.7252776979279,-85.7484571930472,-85.7551115026808,-85.7695108278349,-85.7753354455263,-85.7854718762002,-85.8350370067065,-85.7922507820133,-85.8298697240846,-85.8543716390817,-85.8543716390817,-85.8543708017892,-85.8020053038629,-84.0719955947936,353.116,149.282852243057,149.282852243057,-84.2292158794205,149.282852243057,-531.774254638533,1.0587267868156,,
