Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Cumulative Fit Peak	Independent Variable	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Fitted Y	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Percentiles	Reference X	Reference Line
																					mu = -0.027843	sigma = 188.204693
361.116010011123	-115.554763434041	-115.554763125824	-115.374085287842	-113.687029045611	-113.836985199821	-114.349544469203	-114.892904513059	-115.440189363364	-115.417069795616	-115.554763434041	-115.554763434041	-115.554763434041	-109.669226762055	349.483	132.09331623224	132.09331623224	-109.962903009099	132.09331623224	-786.30299653532	0.592749948605496		
361.883867630701	-115.554763434041	-115.554763124644	-115.373417497523	-113.680390419915	-113.83107670262	-114.345466953823	-114.890781522444	-115.439831908647	-115.416647772246	-115.554763434041	-115.554763434041	-115.554763434041	-109.649031863578	349.697	135.304147448607	135.304147448607	-109.957701167616	135.304147448607	-785.56537373543	0.620160350853149		
362.651725250278	-115.554763434041	-115.554763123457	-115.372745997823	-113.673716338039	-113.825137666263	-114.341368693793	-114.888648292702	-115.439472777588	-115.41622380512	-115.554763434041	-115.554763434041	-115.554763434041	-109.628732656502	349.911	141.392244117856	141.392244117856	-109.95249205174	141.392244117856	-784.525701135863	0.647570753100802		
363.419582869855	-115.554763434041	-115.554763122264	-115.372070761214	-113.66700654705	-113.819167879909	-114.337249548038	-114.886504757831	-115.439111959684	-115.415797882279	-115.554763434041	-115.554763434041	-115.554763434041	-109.608328419985	350.125	146.566283912345	146.566283912345	-109.947275647882	146.566283912345	-777.223467430245	0.674981155348455		
364.187440489433	-115.554763434041	-115.554763121063	-115.371391759916	-113.660260791755	-113.813167130893	-114.333109374282	-114.884350851295	-115.438749444347	-115.415369991673	-115.554763434041	-115.554763434041	-115.554763434041	-109.587818426941	350.338	148.964638352728	148.964638352728	-109.942076369256	148.964638352728	-776.194646717864	0.702391557596108		
364.95529810901	-115.554763434041	-115.554763119856	-115.370708965888	-113.65347881468	-113.80713520471	-114.328948029032	-114.88218650602	-115.438385220908	-115.414940121158	-115.554763434041	-115.554763434041	-115.554763434041	-109.567201943968	350.552	152.141473481916	152.141473481916	-109.936845382743	152.141473481916	-774.177430044187	0.729801959843761		
365.723155728587	-115.554763434041	-115.554763118642	-115.370022350829	-113.646660356039	-113.801071884993	-114.32476536757	-114.880011654388	-115.438019278613	-115.414508258497	-115.554763434041	-115.554763434041	-115.554763434041	-109.546478231286	350.766	152.728714505358	152.728714505358	-109.931607067342	152.728714505358	-768.954169165634	0.757212362091414		
366.491013348165	-115.554763434041	-115.55476311742	-115.369331886172	-113.639805153715	-113.794976953494	-114.320561243939	-114.877826228233	-115.437651606624	-115.414074391356	-115.554763434041	-115.554763434041	-115.554763434041	-109.525646542669	350.979	151.081923128934	151.081923128934	-109.926385938851	151.081923128934	-751.195621237654	0.784622764339067		
367.258870967742	-115.554763434041	-115.554763116192	-115.368637543084	-113.632912943234	-113.788850190065	-114.316335510926	-114.875630158835	-115.437282194015	-115.413638507309	-115.554763434041	-115.554763434041	-115.554763434041	-109.504706125376	351.193	152.295347834925	152.295347834925	-109.921132958891	152.295347834925	-746.930087530491	0.81203316658672		
368.026728587319	-115.554763434041	-115.554763114956	-115.36793929246	-113.625983457735	-113.78269137264	-114.312088020057	-114.873423376912	-115.436911029777	-115.413200593831	-115.554763434041	-115.554763434041	-115.554763434041	-109.483656220085	351.407	150.360665997282	150.360665997282	-109.915872608852	150.360665997282	-722.011206199939	0.839443568834373		
