				Smoothed Y1	Smoothed Y2
			          	10 pts AAv smooth of B	10 pts AAv smooth of "Smoothed Y1"
350.979	-1622.5	350.979	-1492.63	50.16	41.1555371900827
351.193	-309.76	351.193	-476.84	42.1536363636364	42.3742148760331
351.407	5416.37	351.407	5488.9	36.9409090909091	40.4447933884298
351.621	-233.98	351.621	-292.52	48.67	40.7494214876033
351.834	-1421.8	351.834	-1461.91	36.1963636363637	40.8171074380165
352.048	2547.16	352.048	2523.44	30.7981818181818	42.7295867768595
352.262	-389.63	352.262	-421.54	44.0163636363636	41.9679338842975
352.475	3403.21	352.475	3359.01	25.3981818181818	42.1541322314049
352.689	1299.95	352.689	1151.3	45.3190909090909	42.8819008264463
352.902	1588.71	352.902	1640.76	45.3190909090909	41.2232231404958
353.116	140.8	353.116	61.78	65.0536363636363	40.36
353.33	-1458.67	353.33	-1474.2	41.7818181818182	38.9888429752066
353.543	-1065.46	353.543	-1027.74	44.2018181818182	31.5414876033057
353.757	300.54	353.757	153.94	44.9463636363636	24.6527272727272
353.971	292.35	353.971	233.81	30.4245454545454	16.5284297520661
354.184	407.03	354.184	149.84	26.7009090909091	9.21652892561978
354.398	-383.48	354.398	-151.21	15.7154545454545	-2.69900826446287
354.611	861.68	354.611	803.15	-37.9045454545455	-10.3663636363637
354.825	2987.47	354.825	2935.08	-50.3781818181819	-19.0152892561984
355.038	1179.12	355.038	1190.21	-44.0481818181819	-27.1394214876034
355.252	-287.23	355.252	-194.22	-35.1118181818183	-33.7403305785125
355.465	-379.39	355.465	-337.57	-66.0172727272728	-38.4286776859505
355.679	-2374.11	355.679	-1799.82	-42.559090909091	-41.0857851239671
355.892	742.9	355.892	917.83	-50.9363636363638	-37.2266115702481
356.106	1359.34	356.106	1143.11	-44.419090909091	-30.6763636363638
356.319	7798.15	356.319	7641.31	-42.1854545454546	-27.5280991735538
356.533	-502.26	356.533	-419.49	-24.8709090909092	-25.8523140495869
356.746	-184.83	356.746	-210.6	-13.5127272727274	-21.0791735537191
356.96	-809.46	356.96	-775.84	4.54636363636354	-18.7433057851241
357.173	-1460.71	357.173	-1584.79	21.6745454545454	-15.0534710743803
357.386	1228.27	357.386	1214.79	-9.4172727272728	-12.2777685950414
357.6	-788.98	357.6	-886.43	-16.6781818181818	-9.04504132231412
357.813	-995.82	357.813	-1078.94	-13.5127272727273	-17.9815702479339
358.027	-2286.05	358.027	-1910.41	-16.8645454545455	-26.6813223140496
358.24	-711.16	358.24	-724.64	-10.3481818181818	-33.0790909090909
358.453	2647.51	358.453	2773.29	-13.8863636363636	-40.7631404958678
358.667	-1327.6	358.667	-1404.57	-6.62545454545457	-43.4711570247934
358.88	1080.82	358.88	1128.77	-123.172727272727	-46.2130578512397
359.094	-1106.42	359.094	-1095.32	-109.21	-48.8365289256199
359.307	278.01	359.307	239.95	-65.8290909090909	-51.629173553719
359.52	-303.61	359.52	-388.77	-62.85	-55.0988429752066
359.733	2311.64	359.733	2218.29	-39.2054545454545	-58.9915702479339
359.947	-3475.91	359.947	-2291.34	-46.8390909090909	-68.1988429752066
360.16	1377.77	360.16	1141.06	-42.3709090909091	-55.8603305785124
360.373	1723.88	360.373	1622.33	-47.5836363636364	-47.8715702479339
