Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																										mu = -0.111440	sigma = 167.090771
364.187440489433	-81.1676166908107	-81.1676166908107	-80.7618521630534	-81.1394521109287	-81.1166426100137	-81.1676135012557	-81.0352596633736	-81.1034985856679	-81.1395513971377	-81.1408976606996	-81.1262757917024	-81.1675689385661	-81.0789270887782	-81.1192918866349	-81.1676166908107	-81.1676166908107	-81.1676109743599	-80.253042082443	350.338	122.274732974983	122.274732974983	-80.3065511568002	122.274732974983	-740.338093043087	0.702391557596108		
364.95529810901	-81.1676166908107	-81.1676166908107	-80.7603980924975	-81.1393531341425	-81.1164660675213	-81.1676134904076	-81.0348175104025	-81.1032868656867	-81.1394602808862	-81.1408117231517	-81.1261444034533	-81.1675687889074	-81.0786537371609	-81.119145329634	-81.1676166908107	-81.1676166908107	-81.1676109578919	-80.2499300920147	350.552	124.880306005639	124.880306005639	-80.3057605510937	124.880306005639	-726.04298339659	0.729801959843761		
365.723155728587	-81.1676166908107	-81.1676166908107	-80.7589361915239	-81.139253634652	-81.1162886061664	-81.167613479504	-81.0343731378819	-81.1030740951602	-81.1393687201059	-81.1407253702524	-81.1260123877758	-81.1675686385439	-81.0783791197631	-81.11899810481	-81.1676166908107	-81.1676166908107	-81.1676109413526	-80.2468021377633	350.766	124.321332488962	124.321332488962	-80.3049688525982	124.321332488962	-705.022782605389	0.757212362091414		
366.491013348165	-81.1676166908107	-81.1676166908107	-80.7574664038052	-81.1391536087699	-81.1161102195603	-81.1676134685446	-81.0339265309294	-81.1028602671256	-81.1392767118997	-81.1406385993205	-81.125879740668	-81.1675684874712	-81.0781032287571	-81.1188502080986	-81.1676166908107	-81.1676166908107	-81.1676109247416	-80.243658109963	350.979	130.464179766484	130.464179766484	-80.3041797664828	130.464179766484	-663.448793247444	0.784622764339067		
367.258870967742	-81.1676166908107	-81.1676166908107	-80.7559886725061	-81.139053052776	-81.1159309012589	-81.167613457529	-81.0334776745378	-81.1026453745623	-81.1391842533472	-81.1405514076526	-81.1257464580963	-81.1675683356848	-81.0778260562547	-81.1187016354046	-81.1676166908107	-81.1676166908107	-81.1676109080585	-80.2404978979403	351.193	122.457022245108	122.457022245108	-80.3033858814713	122.457022245108	-635.008807499282	0.81203316658672		
368.026728587319	-81.1676166908107	-81.1676166908107	-80.7545029402788	-81.1389519629176	-81.1157506447618	-81.1676134464568	-81.0330265535733	-81.1024294103911	-81.139091341504	-81.1404637925239	-81.1256125359945	-81.1675681831802	-81.0775475943064	-81.1185523826015	-81.1676166908107	-81.1676166908107	-81.1676108913028	-80.2373213900644	351.407	117.243499988512	117.243499988512	-80.3025908976028	117.243499988512	-632.111793553582	0.839443568834373		
368.794586206897	-81.1676166908107	-81.1676166908107	-80.7530091492568	-81.1388503354084	-81.1155694435119	-81.1676134353276	-81.032573152775	-81.1022123674741	-81.1389979734015	-81.1403757511873	-81.1254779702642	-81.1675680299529	-81.0772678349012	-81.1184024455312	-81.1676166908107	-81.1676166908107	-81.1676108744743	-80.2341284737379	351.621	128.971794812843	128.971794812843	-80.3017948128427	128.971794812843	-625.96434526178	0.866853971082026		
369.562443826474	-81.1676166908107	-81.1676166908107	-80.7515072410496	-81.1387481664287	-81.1153872908945	-81.1676134241411	-81.032117456753	-81.1019942386139	-81.1389041460469	-81.1402872808733	-81.1253427567739	-81.1675678759984	-81.0769867699654	-81.1182518200038	-81.1676166908107	-81.1676166908107	-81.1676108575724	-80.230919035386	351.834	116.497364989259	116.497364989259	-80.3010013528949	116.497364989259	-623.726015195112	0.894264373329679		
370.330301446051	-81.1676166908107	-81.1676166908107	-80.7499971567368	-81.1386454521246	-81.115204180237	-81.1676134128967	-81.0316594499873	-81.1017750165526	-81.1388098564229	-81.1401983787899	-81.125206891359	-81.1675677213119	-81.0767043913627	-81.1181005017974	-81.1676166908107	-81.1676166908107	-81.1676108405967	-80.227692960447	352.048	111.098384883577	111.098384883577	-80.3002030653952	111.098384883577	-608.92690391277	0.921674775577332		
371.098159065628	-81.1676166908107	-81.1676166908107	-80.7484788368625	-81.1385421886081	-81.1150201048084	-81.1676134015942	-81.0311991168266	-81.101554693972	-81.138715101487	-81.1401090421225	-81.1250703698211	-81.1675675658888	-81.0764206908932	-81.1179484866576	-81.1676166908107	-81.1676166908107	-81.1676108235468	-80.2244501333601	352.262	124.315767307244	124.315767307244	-80.2994036708801	124.315767307244	-605.537420594661	0.949085177824985		
371.866016685206	-81.1676166908107	-81.1676166908107	-80.7469522214291	-81.1384383719563	-81.1148350578181	-81.1676133902331	-81.0307364414867	-81.1013332634924	-81.138619878172	-81.1400192680334	-81.1249331879284	-81.1675674097245	-81.076135660293	-81.1177957702971	-81.1676166908107	-81.1676166908107	-81.1676108064222	-80.2211904375577	352.475	105.69678872873	105.69678872873	-80.2986069105477	105.69678872873	-605.180939173166	0.976495580072638		
372.633874304783	-81.1676166908107	-81.1676166908107	-80.7454172498919	-81.1383339982112	-81.1146490324159	-81.1676133788131	-81.0302714080494	-81.1011107176718	-81.1385241833852	-81.1399290536616	-81.1247953414145	-81.1675672528143	-81.0758492912335	-81.1176423483959	-81.1676166908107	-81.1676166908107	-81.1676107892226	-80.2179137554522	352.689	125.616896210122	125.616896210122	-80.2978053010308	125.616896210122	-604.556995845283	1.00390598232029		
373.40173192436	-81.1676166908107	-81.1676166908107	-80.7438738611527	-81.1382290633794	-81.1144620216911	-81.1676133673336	-81.029804000461	-81.1008870490061	-81.1384280140084	-81.1398383961229	-81.1246568259788	-81.1675670951533	-81.0755615753206	-81.1174882166005	-81.1676166908107	-81.1676166908107	-81.1676107719475	-80.2146199684271	352.902	125.616097241055	125.616097241055	-80.2970063319644	125.616097241055	-604.545875529278	1.03131638456794		
374.169589543938	-81.1676166908107	-81.1676166908107	-80.7423219935538	-81.1381235634317	-81.1142740186717	-81.1676133557944	-81.0293342025309	-81.1006622499277	-81.1383313668976	-81.1397472925093	-81.1245176372856	-81.1675669367368	-81.0752725040946	-81.1173333705237	-81.1676166908107	-81.1676166908107	-81.1676107545963	-80.2113089568254	353.116	145.349838862867	145.349838862867	-80.2962024992303	145.349838862867	-597.297765636484	1.0587267868156		
374.937447163515	-81.1676166908107	-81.1676166908107	-80.7407615848719	-81.1380174943026	-81.1140850163241	-81.1676133441949	-81.0288619979302	-81.1004363128051	-81.1382342388825	-81.1396557398888	-81.1243777709642	-81.1675667775599	-81.0749820690291	-81.1171778057444	-81.1676166908107	-81.1676166908107	-81.1676107371688	-80.2079805999379	353.33	122.077215731	122.077215731	-80.2953975491819	122.077215731	-596.745769649315	1.08613718906325		
375.705304783092	-81.1676166908107	-81.1676166908107	-80.7391925723118	-81.1379108518899	-81.1138950075521	-81.1676133325348	-81.0283873701905	-81.1002092299425	-81.1381366267668	-81.1395637353054	-81.1242372226082	-81.1675666176179	-81.0746902615305	-81.1170215178074	-81.1676166908107	-81.1676166908107	-81.1676107196644	-80.2046347759936	353.543	124.496413430845	124.496413430845	-80.294595249027	124.496413430845	-588.470776908587	1.1135475913109		
376.47316240267	-81.1676166908107	-81.1676166908107	-80.7376148925001	-81.1378036320545	-81.1137039851966	-81.1676133208137	-81.0279103027021	-81.0999809935787	-81.1380385273273	-81.1394712757789	-81.1240959877755	-81.1675664569056	-81.0743970729376	-81.1168645022228	-81.1676166908107	-81.1676166908107	-81.1676107020827	-80.2012713621473	353.757	125.24015169972	125.24015169972	-80.2937880633565	125.24015169972	-583.845597409019	1.14095799355856		
377.241020022247	-81.1676166908107	-81.1676166908107	-80.7360284814791	-81.1376958306198	-81.1135119420345	-81.167613309031	-81.0274307787127	-81.0997515958868	-81.137939937314	-81.1393783583041	-81.1239540619877	-81.1675662954183	-81.0741024945205	-81.1167067544656	-81.1676166908107	-81.1676166908107	-81.1676106844232	-80.1978902344688	353.971	110.717525208678	110.717525208678	-80.2929797541328	110.717525208678	-574.586504543295	1.16836839580621		
378.008877641824	-81.1676166908107	-81.1676166908107	-80.7344332746995	-81.1375874433714	-81.1133188707784	-81.1676132971865	-81.0269487813261	-81.0995210289733	-81.1378408534499	-81.1392849798513	-81.1238114407298	-81.1675661331509	-81.0738065174803	-81.1165482699759	-81.1676166908107	-81.1676166908107	-81.1676106666854	-80.1944912679301	354.184	106.9930831952	106.9930831952	-80.2921741042903	106.9930831952	-558.209588898182	1.19577879805386		
378.776735261402	-81.1676166908107	-81.1676166908107	-80.7328292070148	-81.1374784660566	-81.1131247640756	-81.1676132852796	-81.0264642935004	-81.0992892848775	-81.1377412724304	-81.1391911373654	-81.1236681194498	-81.1675659700984	-81.0735091329486	-81.116389044158	-81.1676166908107	-81.1676166908107	-81.167610648869	-80.1910743363953	354.398	96.0068180924068	96.0068180924068	-80.2913635469524	96.0068180924068	-541.458871407433	1.22318920030151		
379.544592880979	-81.1676166908107	-81.1676166908107	-80.7312162126741	-81.1373688943842	-81.1129296145076	-81.1676132733099	-81.0259772980468	-81.099056355571	-81.1376411909233	-81.1390968277661	-81.1235240935585	-81.1675658062557	-81.0732103319863	-81.1162290723804	-81.1676166908107	-81.1676166908107	-81.1676106309735	-80.1876393126088	354.611	42.3860102007944	42.3860102007944	-80.2905556553401	42.3860102007944	-536.621817943702	1.25059960254917		
380.312450500556	-81.1676166908107	-81.1676166908107	-80.7295942253153	-81.1372587240236	-81.1127334145896	-81.1676132612769	-81.0254877776279	-81.0988222329566	-81.1375406055684	-81.1390020479476	-81.123379358429	-81.1675656416177	-81.0729101055832	-81.1160683499755	-81.1676166908107	-81.1676166908107	-81.1676106129983	-80.1841860681805	354.825	29.9115610233358	29.9115610233358	-80.2897428415176	29.9115610233358	-534.352089518479	1.27801000479682		
